id,followers,username,time,last_child_time,Hop,Non_follower
1.44494E+18,106,lill_darko,62488,62488,2,0
1.62342E+18,74,gnadmannah03,62488,62488,1,0
2416751142,196,erinaimeee,62488,62488,1,0
7.66785E+17,222,TonyDaVinci_TDV,62560,128542,2,0
1466265294,240,CanaanBradfield,62560,62560,1,0
1.31868E+18,997,youngnuddy,62560,62560,3,0
4447104254,1010,crisssyyy____,62560,667808,1,0
7.7264E+17,203,MEGAiZAY,62632,62632,2,0
98867305,2384,Kush_Unicorn,62632,62632,1,0
1344622500,631,iCLeo_,62632,72816,2,0
394256762,5047,CalvenLusenga,62632,667808,2,0
537588584,157,McCluskyK,62632,62632,2,0
8.14957E+17,90,Kofi_hb,62632,62632,2,0
406531726,1843,shyshunterria,62632,62632,1,0
1.51641E+18,441,uncleabby,62705,667808,1,0
1.58942E+18,19,laura_almeidag8,62705,62705,2,0
1.51451E+18,6,NeoKamohi,62705,62705,1,1
1.27196E+18,105,GoodDays2021,62705,62705,2,0
9.36617E+17,146,sir_brightside,62705,62705,2,0
1.56259E+18,61,PaulMayowa3,62777,62777,3,0
1.24288E+18,213,groovydxeno,62777,62777,2,0
7.00423E+17,109,TizyVibes,62777,62777,1,0
1.59737E+18,16,_xeds,62777,62777,2,0
1.35956E+18,24,jmesfrancocean,62777,62777,2,0
774390631,8475,TheMr_Mrs_,62849,667808,2,0
953618076,145,ipsssen,62849,508361,1,0
1.52076E+18,268,DonovanJeter95,62849,62849,1,1
1.05028E+18,3373,_nanasommy_,62849,667808,2,0
1.17688E+18,25,twotouch_8,62849,62849,1,0
346408050,331,grantstonex,62849,62849,1,0
1.31595E+18,574,ifeoluwasenge,62849,146802,1,1
1.55488E+18,18,BabyboyyFX,62849,62849,1,1
7.37239E+17,840,festus_llary,62849,62849,2,0
1.25471E+18,576,maNtotho_,62849,143706,1,1
1.59582E+18,47,ponmile_38,62922,62922,1,1
1.16301E+18,1104,Slim_Schneider,62922,667808,2,0
9.81333E+17,184,Jeverden_,62922,62922,2,0
2606928131,1380,fullmoontriplet,62922,667808,2,0
1.18824E+18,147,holy_devn,62922,62922,2,0
1003927022,296,spacetrip8,62922,62922,1,0
1.05396E+18,449,Nuelgabriel29,62922,62922,2,0
588489624,2026,miss_rooii,62994,667808,2,0
1.05007E+18,5356,SamtheRoyaltyy,62994,667808,2,0
3378026632,131,black_turtle444,62994,62994,1,0
9.47501E+17,305,Martintez1,63066,667808,1,0
7.14049E+17,691,mvhd_sk99,63066,667808,2,0
7.52382E+17,76,Shilohlewiss,63066,63066,1,1
8.82374E+17,1775,talesofvaughn,63066,63066,2,0
7.23137E+17,157,jokesonyouzi,63066,667808,1,0
7.03654E+17,907,dianamirador,63066,63066,2,0
446772157,700,WhiteGirlWvsted,63066,63066,2,0
1069856791,403,adrianaprovetti,63066,223757,1,0
9.60862E+17,15448,sacralempress,63066,667808,3,0
1.18056E+18,6177,itsmesidex,63138,667808,2,0
8.84661E+17,233,Qee_bah,63138,63138,3,0
1.62105E+18,11,NaphtaliMatt1,63138,63138,2,0
2152373735,1869,AkGbolly,63138,667808,2,0
1.14711E+18,188,laselaselase,63211,667808,3,0
368046540,539,ChrisMBingham,63211,63211,3,0
30095442,343,LayRay3,63211,63211,1,0
1.49896E+18,62,MunachimFantacy,63211,667808,2,0
1.08382E+18,62,cdnketiah,63211,63211,2,0
2282874668,1032,Klis_Martinez,63211,63211,1,0
460664832,513,ibeesfresco,63283,63283,2,0
2926351608,2948,joyalyssiaa,63283,63283,2,0
1.24001E+18,2782,ohene_ohene1,63355,667808,2,0
3164443495,442,johnndawkins,63355,63355,2,0
1.47536E+18,0,fubdhbxx,63355,63355,1,1
1.58205E+18,32,bhrismfbanchez,63355,63355,2,0
7.01012E+17,64,kailarenaae,63355,63355,2,0
7.11304E+17,297,Raeraexo_,63355,63355,1,0
1.48154E+18,31,arod_ing,63355,63355,2,0
2385902839,272,ChaconDre,63428,63428,2,0
26217922,783,LyngTerm,63428,667808,3,0
1.50451E+18,9,Ddonjuan101,63428,63428,2,0
1.58745E+18,1,shortywop52,63428,63428,1,1
1.32919E+18,113,_ColourfulAura,63428,63428,1,1
1.36981E+18,16,kaota__,63428,63428,1,1
1.30926E+18,264,mzkeitrix,63428,236660,3,0
1.14706E+18,34,JonasMaraka,63428,63428,3,0
1.09856E+18,1317,og_farouk,63428,667808,2,0
296090458,531,_QueenAng,63428,63428,3,0
3583380437,260,slip_n_dip,63500,63500,2,0
1486126051,675,celestialcohort,63500,63500,2,0
1302064459,865,KraveKarii,63500,63500,1,0
1.21668E+18,883,LoziiKid,63500,63500,1,0
1.58864E+18,153,wheresmylithium,63500,63500,2,1
1.20907E+18,684,thejaphetchris,63500,667808,1,0
8.90519E+17,1482,FolaWalker123,63500,667808,2,0
2509124311,150,alex_kool9957,63500,63500,1,0
1.53677E+18,168,JustHoeingxx,63572,63572,2,0
1.58263E+18,25,4lyferzzzz,63572,63572,1,1
46299851,651,jamesjawnson,63572,63572,1,0
1.48794E+18,28,LizaliseMlahlwa,63572,63572,1,0
1.16129E+18,169,Pat_Chamale,63572,63572,2,0
1.23947E+18,81,ctvdood,63572,63572,2,0
215837233,108,thecoronadon,63572,63572,1,0
1.47204E+18,20,POVPODCAST_,63572,63572,1,1
1.19935E+18,146,Ajebota_Queen,63572,63572,1,0
9.04721E+17,65,ThapediPhetolo,63644,63644,2,0
2166660292,63,JeremDcmn,63644,63644,1,0
1.49118E+18,52,adegboye_dolapo,63644,63644,1,1
8.63194E+17,25,ulznnn,63644,63644,1,1
2764185797,50,AyahN17,63644,63644,1,0
1.59731E+18,1,bern19191712,63644,63644,1,1
7.88918E+17,177,ZariaAlexus,63644,63644,1,1
1.07543E+18,52,SelmaIonita,63644,63644,1,0
637259418,175,cait_del,63717,63717,1,0
1270414886,2087,Theo_Silinda,63717,667808,2,0
295216668,817,spicyximi,63717,63717,2,0
1.0884E+18,1907,MJosua96,63717,63717,2,0
1.52372E+18,24,gusthetavo,63717,63717,1,0
1.39477E+18,24,optimist_6343,63717,63717,1,1
3164577367,175,L3ONI8,63717,63717,1,1
1.10948E+18,175,itzallygator,63717,63717,1,0
1.03375E+18,248,ajg__1,63717,63717,1,0
1.48116E+18,46,MzwakheFana1,63717,63717,2,0
1.18901E+18,17,kimmyjackelynn,63717,63717,1,0
1.45453E+18,29,part_time_nerd2,63789,63789,2,0
7.67925E+17,84,Fiza__Alam,63789,71732,1,0
1.19203E+18,342,MilliBoy18,63789,63789,3,0
1.38304E+18,651,callmeGoogoo,63789,63789,2,0
7.19639E+17,466,_aramirez24,63861,63861,2,0
1.05239E+18,223,_kingeche,63861,116445,2,0
1.26937E+18,1042,PhatKyatt,63861,273805,2,0
1.48961E+18,18,TrapBlessing,63861,63861,1,0
1.17216E+18,4969,andiellla,63861,667808,2,0
1.57791E+18,25,C_Spill93,63861,63861,2,0
4906327793,2044,BlvckTokyo3,63933,63933,2,0
1.07706E+18,4,UziWithASc0pe,63933,63933,2,0
1292538000,1793,GyauBismark,63933,667808,2,0
1.21788E+18,1117,RamulifhoNeo,63933,63933,1,0
1.10595E+18,91,LuFanfaa,63933,63933,1,0
7.53304E+17,33,flawlessfranci1,63933,63933,1,0
1.48097E+18,39,everythingcdk,63933,63933,3,0
1.32044E+18,7,kwadjobemp7,64005,64005,1,1
165179681,1418,wanderd_,64005,75633,1,0
2554480203,205,named_dumisani,64005,64005,4,0
9.92761E+17,120,LabattRebby,64005,64005,1,1
1.59881E+18,30,trueguardian_,64005,64005,1,1
1.22393E+18,1401,NashBlvck,64005,667808,2,0
8.64522E+17,671,gabe_hyness,64005,64005,1,0
7.27942E+17,418,Thabiso_Modise5,64005,667808,1,0
1.16178E+18,373,IgweFerdinandA1,64005,64005,3,0
1.31062E+18,92,KimJordanayo,64005,64005,1,1
1.22413E+18,26,jessiica_taylor,64005,64005,1,0
2857125581,59,killcapp,64005,64005,2,0
1.2654E+18,36,DioufMatome,64077,64077,2,0
1.19908E+18,250,nepaondabeat,64077,64077,2,0
8.07068E+17,192,the_gracefoster,64077,64077,1,0
3438735245,540,calleegissal,64077,64077,1,0
3277872732,95,franciscobltrn,64077,64077,2,0
8.16677E+17,1201,Contiota,64077,64077,2,0
